"business_name","business_address","business_city","business_state","business_zip","contact_name","primary_phone","email_address","major_field_of_operation","commodity_code_description"
"BTNJ, LLC (AKA) POWER & AUTOMATION ELECTRICAL CONTRACTOR","851 VAN HOUTEN AVE","CLIFTON","NJ","7013","JOSEPH CASCIANO","(973)777-4701","NOLIVEIRA@POWERANDAUTOMATION.COM","INDUSTRIAL ELECTRIC CONTRACTOR MAINLY PROVIDING POWER IN INSTALLATION AND MODIFICATION OF SCHOOLS, HOSPITALS AND CONTROLS AND BMS SYSTEMS",
"WICKERSHEIM & SONS, INC. (AKA) WICKERSHEIM & SONS PLUMBING, HEATING & A/C","92 FAIRMOUNT AVE.","HACKENSACK","NJ","7601","ROBERT WICKERSHEIM","(201)343-4157","INFO@WICKERSHEIMPLUMBING.COM","PLUMBING, HEATING AND AIR CONDITIONING SERVICE AND INSTALLATION.",
"GALIA CONSTRUCTION, INC.","94 GORDON AVENUE","TOTOWA","NJ","7512","ELIZABETA BOSKOVSKI","(973)897-4450","GALIACONSTRUCTION@YAHOO.COM","GALIA CONSTRUCTION, INC. IS CONCENTRATED IN REMOVAL OF OLD ROOF, INSTALLATION OF NEW ROOF AND ROOF REPAIRS.  WE ALSO PERFORM DEMOLITION.",
"ASSUNCAO BROS., INC. (AKA) ASSUNCAO BROTHERS","29 WOOD AVE","EDISON","NJ","8820","MARTIN ASSUNCAO","(732)549-8582","GARRETT@ASSUNCAOBROTHERS.COM","HEAVY HIGHWAY CONSTRUCTION, CONCRETE FLATWORK",
"EASTERN ALLIANCE LLC","400 GOFFLE RD","HAWTHORNE","NJ","7506","MATTHEW JACKOWITZ","(201)543-4352","MATT.JACKOWITZ@EASTALLIANCE.COM","EASTERN ALLIANCE LLC IS A GC PERFORMING TELECOMMUNICATIONS WORK IN THE WIRELESS INDUSTRY. WE ARE HERE TO PROVIDE OUR CLIENTS WITH QUALITY SERVICES AND SUPPORT WHICH MEET AND EXCEED EXPECTATIONS WHILE CONTINUING TO MAINTAIN SAFETY AS A CORE VALUE.",
"DIACO CONTRACTING INC (AKA) GRADE CONSTRUCTION","110 PENNSYLVANIA AVENUE","PATERSON","NJ","7503","RALPH DIACO","(973)925-4021","RALPH@GRADECONSTRUCTION.NET","HEAVY CIVIL CONSTRUCTION",
"ALLOY WELDING CO.","6A CULNEN DRIVE","SOMERVILLE","NJ","8876","LEONARD SCHARFFENBERGER","(908)218-1551","LENJR@ALLOYWELDINGCO.COM","STRUCTURAL & MISC. STEEL FABRICATION AND ERECTION (NON-UNION SHOP)",
"SALMON BROS. INC. (AKA) SALMON BROS., INC.","5 FURNACE STREET","STANHOPE","NJ","7874","JEFFREY SALMON","(973)347-0013","SLMN375@YAHOO.COM","EXCAVATING, BRIDGE/DAM REPAIR, CONCRETE WORK, SNOW REMOVAL",
"CHAMBON ELECTRIC INC.","110 SUMMIT AVENUE","CHATHAM","NJ","7928","ROBERT CHAMBON","(973)635-0123","CELECT@CELECTONLINE.COM","ELECTRICAL CONTRACTOR",
"KUBIAK ELECTRIC CO. INC. (FORMERLY FRANK KUBIAK ELECTRIC CO.","1274 ROUTE 130 SOUTH","ROBBINSVILLE","NJ","8691","MARC CARLTON","(609)587-7168","KUBIAKELECTRIC@KUBIAKELECTRIC.COM","ELECTRICAL CONTRACTOR",
