"business_name","business_address","business_city","business_state","business_zip","contact_name","primary_phone","email_address","major_field_of_operation","commodity_code_description"
"STAATS, AIMEE (AKA) DAKOTA CONSULTING","8761 BLUFF LANE","FAIR OAKS","CA","95628","AIMEE STAATS","(916)642-9410","APSTAATS@GMAIL.COM","MANAGEMENT CONSULTING, PROPOSAL MANAGEMENT, REPORT DEVELOPMENT, DATA ANALYTICS, EDUCATION","MANAGEMENT CONSULTING"
"INTUEOR CONSULTING INC","7700 IRVINE CENTER DRIVE, STE 610","IRVINE","CA","92618","VIJENDER MIDIDADDI","(949)466-5663","MIDIDADDI@INTUEOR.COM","INTUEOR IS A STRATEGY, MANAGEMENT, AND TECHNOLOGY ADVISORY FIRM WITH MISSION TO HELP PUBLIC SECTOR OPERATE AND PERFORM EFFICIENTLY.","MANAGEMENT CONSULTING"
"LOTUS NEW JERSEY LLC (AKA) LOTUS NEW JERSEY LLC","38 MOSS STREET, UNIT B103","SAN FRANCISCO","CA","94103","PHUONG TRAN","(415)235-1388","JOSHUABLACK33@GMAIL.COM","APPLYING FOR LEGAL AND LICENSED RETAIL CANNABIS DISPENSARY WITH DEPARTMENT OF HEALTH","MISCELLANEOUS PRODUCTS (NOT OTHERWISE CLASSIFIED)  |  HEALTH RELATED SERVICES (SEE CLASS 952 FOR HUMAN SERVICES)"
"MAKE GREEN GO, INC.","405 MORELLO DR","HAYWARD","CA","94541","LA WANDA KNOX","(510)255-4669","LAWANDA@MAKEGREENGO.COM","ONLINE EDUCATION AND TRAINING, CURRICULUM DEVELOPMENT AND CONSULTING SERVICES, BUSINESS DEVELOPMENT ADVISING AND TRAINING.","CONSULTING SERVICES  |  ADMINISTRATIVE CONSULTING  |  EDUCATIONAL AND TRAINING SERVICES  |  ADVISORY SERVICES, EDUCATIONAL  |  COURSE DEVELOPMENT SERVICES, INSTRUCTIONAL AND TRAINING"
"EXAVALU, INC. (AKA) EXAVALU","5000 BIRCH STREET, WEST TOWER, SUITE 3000","NEWPORT BEACH","CA","92660","REFIK ONGUN","(310)245-2855","ACCOUNTING@EXAVALU.COM","INFORMATION TECHNOLOGY CONSULTING SERVICES","CONSULTING SERVICES"
"TERRAPIN INVESTMENT FUND II LLC","5360 MANHATTAN CIRCLE , SUITE 200","BOULDER","CO","80303","KRISTEN CHANGARIS","(303)565-9033","LICENSING@TERRAPINCARESTATION.COM","TERRAPIN INVESTMENT FUND II, LLC HAS APPLIED FOR A CANNABIS PERMIT WITH NEW JERSEY DEPARTMENT OF HEALTH AND IS NOT CURRENTLY OPERATIONAL.","PROFESSIONAL: ELEARNING, HOSPITAL AND PHARMACY, LEGAL, COMPUTER TRAINING, ETC., MAINFRAMES AND SERVERS  |  DRUGS AND PHARMACEUTICALS  |  MISCELLANEOUS DRUGS AND PHARMACEUTICALS (NOT OTHERWISE CLASSIFIED)  |  MISCELLANEOUS PRODUCTS (NOT OTHERWISE CLASSIFIED)  |  EDUCATION AND TRAINING CONSULTING  |  MEDICAL CONSULTING  |  HEALTH RELATED SERVICES (SEE CLASS 952 FOR HUMAN SERVICES)  |  EXPERIMENTAL MEDICAL SERVICES  |  MEDICAL AND LABORATORY SERVICES, NON-PHYSICIAN  |  PHARMACEUTICAL SERVICES  |  PROFESSIONAL MEDICAL SERVICES: PHYSICIANS, PHARMACISTS, AND ALL SPECIALTIES  |  SELF INSURED PROGRAM, PRESCRIPTION DRUG  |  PHARMACEUTICAL AND MEDICAL EQUIPMENT AND PRODUCTS MANUFACTURING SERVICES"
"ENGINEERING FOR INFRASTRUCTURE LLC (AKA) ENGINEERING FOR INFRASTRUCTURE","4255 S BUCKLEY RD, #2007","AURORA","CO","80013","RICHARD GALLEGOS","(720)427-2663","RICHARD.GALLEGOS.EE@GMAIL.COM","ENGINEERING FOR INFRASTRUCTURE LLC PROVIDES ELECTRICAL ENGINEERING DESIGN AND CONSULTING PROFESSIONAL SERVICES IN THE AREAS OF TRANSPORTATION, BUILDINGS AND LIGHTING.","C.I.P., ARCHITECTURAL AND ENGINEERING SERVICES  |  ENGINEERING SERVICES, PROFESSIONAL  |  ELECTRICAL ENGINEERING, INCLUDING COGENERATION DESIGN SERVICES"
"JKMUIR LLC","2275 SILAS DEANE HIGHWAY","ROCKY HILL","CT","6067","JENNIFER  MUIR","(860)249-0989","JENMUIR@JKMUIR.COM","AS A FIRM, JKMUIR OFFERS A BROAD RANGE OF ENGINEERING CAPABILITIES AND TECHNICAL SERVICES, INCLUDING FEASIBILITY STUDIES, PLANNING, DESIGN, PROJECT MANAGEMENT, CONSTRUCTION ADMINISTRATION AND COMMISSIONING.","DESIGN SERVICES  |  ENGINEERING SERVICES, NON-LICENSED (NOT OTHERWISE CLASSIFIED), INCLUDING CONSULTING  |  CONSULTING SERVICES  |  CONSTRUCTION CONSULTING  |  ENERGY CONSERVATION CONSULTING  |  FEASIBILITY STUDIES, CONSULTING  |  UTILITIES: GAS, WATER, ELECTRIC CONSULTING"
"ASL CAPITAL MARKETS INC.","600 SUMMER ST - SUITE 402","STAMFORD","CT","6901","EVAN GERHARD","(203)388-2945","EVAN.GERHARD@ASLCAP.COM","ASL IS AN INDEPENDENT, GLOBAL FIXED INCOME SPECIALIST FOCUSED ON ACTING AS AN INTERMEDIARY FOR BOTH CASH SECURITIES AND THIRD-PARTY BORROWERS AND LENDERS THROUGH REPO AND REVERSE REPO AGREEMENTS.","FINANCE AND ECONOMICS CONSULTING  |  FINANCIAL SERVICES  |  CASH/SECURITIES AND BONDING SERVICES"
"FITZGERALD & HALLIDAY, INC. (AKA) FHI STUDIO","416 ASYLUM STREET","HARTFORD","CT","6103","KELLEY KELLY","(860)247-7200","FINANCE@FHISTUDIO.COM","MOBILITY, TRANSPORTATION, COMMUNITY, AND ENVIRONMENTAL PLANNING, COMMUNITY ENGAGEMENT AND PUBLIC INVOLVEMENT, LANDSCAPE ARCHITECTURE AND DESIGN.","ENVIRONMENTAL CONSULTING  |  PERMITTING SERVICES, ENVIRONMENTAL  |  FEASIBILITY STUDIES, CONSULTING  |  PUBLIC RELATIONS CONSULTING  |  CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED)  |  FERTILIZER APPLICATORS AND FITTINGS: LIQUID AND GAS  |  ENVIRONMENTAL AND ECOLOGICAL SERVICES  |  LANDSCAPE, ARCHITECTURAL SERVICES  |  AGRICULTURAL EQUIPMENT AND IMPLEMENT PARTS  |  TRANSPORTATION CONSULTING  |  IMPACT STUDIES, ENVIRONMENTAL  |  URBAN PLANNING CONSULTING  |  PLANNING, URBAN, COMMUNITY, REGIONAL, AREA WIDE, AND STATE  |  PLANNING AND ADVISORY SERVICES, ENVIRONMENTAL  |  ENGINEERING SERVICES, NON-LICENSED (NOT OTHERWISE CLASSIFIED), INCLUDING CONSULTING  |  COMMUNICATIONS CONSULTING  |  ENVIRONMENTAL AND ENERGY, ARCHITECTURAL SERVICES  |  ECOLOGICAL SERVICES  |  WETLAND DELINEATIONS, INCLUDING ASSESSMENTS  |  TRAFFIC AND TRANSPORTATION ENGINEERING  |  HISTORICAL PRESERVATION  |  AIR QUALITY MONITORING SERVICES  |  RAILROAD; RAPID TRANSIT; MONORAIL, ARCHITECTURAL SERVICES"
